shot_distance_band,count,offensive_rebound_rate
0–3,21332,0.3763828989311832
4–8,14249,0.34086602568601304
9–14,11468,0.26552145099407043
15–20,9821,0.20639446084920068
21–24,13973,0.23323552565662348
25–30,37007,0.21190585564893127
